 ADC1	 ADC2	 ADC3	 ADC4	 F1	 F2	 F3	 F4	 KE1	 KE2	 KE3	 KE4	 W1	 W2	 W3	 W4	N: Peptides	T: Protein IDs	T: Majority protein IDs	T: Fasta headers
25.1783	25.9438	25.2921	25.1347	26.4329	26.695	26.6923	26.0061	25.1193	25.7379	25.0252	24.7621	25.5786	25.6606	25.8433	23.1841	9	sp|A0QNI7|ESPG1_MYCS2	sp|A0QNI7|ESPG1_MYCS2	sp|A0QNI7|ESPG1_MYCS2 ESX-1 secretion-associated protein EspG1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=espG1 PE=3 SV=1
30.2265	30.4258	30.1421	29.9758	30.5046	30.489	30.3107	30.2454	29.8589	30.0185	29.6169	30.9769	30.0592	30.0715	30.1813	30.4154	44	sp|A0QNI9|ECCA1_MYCS2	sp|A0QNI9|ECCA1_MYCS2	sp|A0QNI9|ECCA1_MYCS2 ESX-1 secretion system protein EccA1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=eccA1 PE=3 SV=1
26.0131	26.4998	26.463	25.9935	27.6989	27.7042	27.7547	27.0929	25.9622	26.1209	26.1421	24.6633	26.5923	26.3801	26.5309	24.7881	15	sp|A0QNJ0|ECCB1_MYCS2	sp|A0QNJ0|ECCB1_MYCS2	sp|A0QNJ0|ECCB1_MYCS2 ESX-1 secretion system ATPase EccB1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=eccB1 PE=1 SV=1
26.3628	26.7184	26.5482	26.4809	28.1703	28.3833	28.2201	27.9446	25.9566	25.8393	26.3282	24.7206	27.2085	27.3277	27.1108	26.1562	20	sp|A0QNJ2|ECC1B_MYCS2	sp|A0QNJ2|ECC1B_MYCS2	sp|A0QNJ2|ECC1B_MYCS2 ESX-1 secretion system protein EccCb1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=eccCb1 PE=3 SV=1
23.688	24.9285	23.6284	24.1481	23.3794	24.0441	23.3683	23.0778	27.3295	22.9162	22.7877	25.3784	24.0763	21.3408	22.2699	24.4199	6	sp|A0QNJ5|ESXB_MYCS2	sp|A0QNJ5|ESXB_MYCS2	sp|A0QNJ5|ESXB_MYCS2 ESAT-6-like protein EsxB OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=esxB PE=1 SV=1
22.7548	27.0512	23.0269	26.9924	27.6039	22.5553	27.6564	25.6339	27.3225	27.8693	27.5833	25.3458	27.193	27.2388	27.6411	23.697	3	sp|A0QNJ6|ESXA_MYCS2	sp|A0QNJ6|ESXA_MYCS2	sp|A0QNJ6|ESXA_MYCS2 ESAT-6-like protein EsxA OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=esxA PE=1 SV=1
25.292	25.4207	25.0589	26.1658	27.3117	27.373	27.1098	27.2114	24.9694	25.0156	25.2397	24.2074	26.2642	26.613	26.3426	27.2768	13	sp|A0QNL0|ECCE1_MYCS2	sp|A0QNL0|ECCE1_MYCS2	sp|A0QNL0|ECCE1_MYCS2 ESX-1 secretion system protein EccE1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=eccE1 PE=3 SV=1
25.7289	25.8641	25.8628	26.109	26.7749	26.911	26.8383	27.2418	26.2611	25.9181	26.0487	24.7834	26.2388	26.3029	26.1681	25.7977	7	sp|A0QNL1|MYCP1_MYCS2	sp|A0QNL1|MYCP1_MYCS2	sp|A0QNL1|MYCP1_MYCS2 Mycosin-1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mycP1 PE=1 SV=1
22.6664	23.6299	23.9795	24.0076	25.5945	26.681	26.7666	26.046	24.1227	23.9727	24.367	24.3768	24.0507	24.1639	23.3828	23.7249	10	sp|A0QNM2|Y095_MYCS2	sp|A0QNM2|Y095_MYCS2	sp|A0QNM2|Y095_MYCS2 Putative S-adenosyl-L-methionine-dependent methyltransferase MSMEG_0095/MSMEI_0092 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_0095 PE=3 SV=1
23.0902	22.2551	22.7061	22.7603	22.7387	22.618	21.52	23.3452	22.0321	22.47	24.2423	23.9625	22.5226	22.8337	22.1965	22.7226	2	sp|A0QNX1|MURQ_MYCS2	sp|A0QNX1|MURQ_MYCS2	sp|A0QNX1|MURQ_MYCS2 N-acetylmuramic acid 6-phosphate etherase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=murQ PE=3 SV=1
29.6242	29.7918	29.8685	29.6736	29.2517	29.1213	29.3538	29.1491	29.3662	29.6141	29.6334	25.0956	29.581	29.7171	29.6745	27.1761	20	sp|A0QNZ7|MGLL_MYCS2	sp|A0QNZ7|MGLL_MYCS2	sp|A0QNZ7|MGLL_MYCS2 Monoacylglycerol lipase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_0220 PE=1 SV=1
24.0484	23.4859	22.6707	23.6596	22.8503	23.0338	25.1735	23.5737	24.2144	23.0546	23.8226	24.897	23.137	23.3787	21.7027	23.4252	2	sp|A0QP18|MMPLB_MYCS2	sp|A0QP18|MMPLB_MYCS2	sp|A0QP18|MMPLB_MYCS2 Mycolic acid-containing lipids exporter MmpL11 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mmpL11 PE=3 SV=1
29.63	29.5079	29.5617	29.8919	30.6735	31.2469	31.2868	30.9203	29.4317	29.668	29.4263	27.0274	30.2119	30.2075	30.4644	30.3226	41	sp|A0QP32|PCKG_MYCS2	sp|A0QP32|PCKG_MYCS2	sp|A0QP32|PCKG_MYCS2 Phosphoenolpyruvate carboxykinase [GTP] OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=pckG PE=1 SV=1
26.7199	28.1734	28.0933	26.9974	29.3398	29.6179	29.5899	29.7358	28.3255	28.7059	28.8766	26.9292	27.2281	27.4194	27.2284	26.2663	34	sp|A0QP90|G6PD_MYCS2	sp|A0QP90|G6PD_MYCS2	sp|A0QP90|G6PD_MYCS2 Glucose-6-phosphate 1-dehydrogenase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=zwf PE=1 SV=1
22.5356	23.3424	22.24	23.1741	23.2931	24.6341	24.0269	22.8457	22.5553	23.6828	23.9229	24.6616	23.6018	23.1736	23.4029	24.2256	3	sp|A0QPD3|RIR2H_MYCS2	sp|A0QPD3|RIR2H_MYCS2	sp|A0QPD3|RIR2H_MYCS2 R2-like ligand binding oxidase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=nrdB PE=3 SV=1
24.6587	24.8678	24.5398	24.8548	24.2159	24.6102	24.4596	26.3257	24.3442	24.864	24.2405	23.711	24.8744	24.8232	24.3569	26.123	11	sp|A0QPD4|AFTD_MYCS2	sp|A0QPD4|AFTD_MYCS2	sp|A0QPD4|AFTD_MYCS2 Alpha-(1->3)-arabinofuranosyltransferase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=aftD PE=1 SV=1
27.4297	27.6602	27.5542	27.4819	27.674	27.4302	27.5379	27.6778	27.7774	28.0624	27.5297	24.1495	28.2	27.6318	28.0345	27.9991	11	sp|A0QPF9|RMLA_MYCS2;tr|A0R4X1|A0R4X1_MYCS2	sp|A0QPF9|RMLA_MYCS2	sp|A0QPF9|RMLA_MYCS2 Glucose-1-phosphate thymidylyltransferase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=rmlA PE=1 SV=1
24.8378	24.2485	25.0729	24.0791	27.1208	28.3462	28.4542	26.722	23.6504	23.2105	23.0414	23.2744	25.3185	25.6079	25.4444	25.1794	23	sp|A0QPN1|TOPOM_MYCS2	sp|A0QPN1|TOPOM_MYCS2	sp|A0QPN1|TOPOM_MYCS2 Topoisomerase subunit TopoM OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=topoM PE=1 SV=1
21.7228	23.1117	22.8392	23.3432	26.2976	28.2912	28.6379	26.56	22.8986	24.2637	24.1323	24.4942	24.0964	24.4033	24.0404	23.3604	20	sp|A0QPN2|TOPON_MYCS2	sp|A0QPN2|TOPON_MYCS2	sp|A0QPN2|TOPON_MYCS2 Topoisomerase subunit TopoN OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=topoN PE=1 SV=2
30.9755	31.3951	31.5386	30.8935	31.0654	30.4712	29.8589	30.4994	31.6	31.1444	31.268	25.5066	30.6363	30.3274	30.3546	27.4891	5	sp|A0QR29|MSPA_MYCS2;sp|A0R3I3|MSPC_MYCS2;sp|A0QPU4|MSPB_MYCS2;sp|A0R541|MSPD_MYCS2	sp|A0QR29|MSPA_MYCS2;sp|A0R3I3|MSPC_MYCS2;sp|A0QPU4|MSPB_MYCS2;sp|A0R541|MSPD_MYCS2	sp|A0QR29|MSPA_MYCS2 Porin MspA OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mspA PE=1 SV=1;sp|A0R3I3|MSPC_MYCS2 Porin MspC OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mspC PE=1 SV=1;sp|A0QPU4|
22.1667	23.8678	22.4425	24.5086	24.8175	25.2915	25.1179	25.4852	22.411	23.4426	24.2305	24.453	22.5122	22.3998	22.1871	23.2761	5	sp|A0QQ37|Y614_MYCS2	sp|A0QQ37|Y614_MYCS2	sp|A0QQ37|Y614_MYCS2 Putative S-adenosyl-L-methionine-dependent methyltransferase MSMEG_0614/MSMEI_0598 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_0614 PE=3 SV=1
23.0955	23.8348	23.9884	21.9591	23.2832	24.2239	22.6176	24.0389	21.9014	24.1624	22.7426	24.1729	23.2705	23.3769	22.1627	22.6688	2	sp|A0QQ38|ECCA3_MYCS2	sp|A0QQ38|ECCA3_MYCS2	sp|A0QQ38|ECCA3_MYCS2 ESX-3 secretion system protein EccA3 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=eccA3 PE=3 SV=2
23.0917	23.1779	23.6506	23.3838	22.9347	22.4544	22.9969	24.0801	22.5977	23.8769	30.1152	25.232	23.3121	22.8328	23.0238	24.0555	3	sp|A0QQ72|PHNF_MYCS2	sp|A0QQ72|PHNF_MYCS2	sp|A0QQ72|PHNF_MYCS2 HTH-type transcriptional repressor PhnF OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=phnF PE=1 SV=2
24.837	23.8247	24.1815	25.0997	26.3731	27.0024	26.5659	27.1219	24.2863	24.5645	24.4288	24.3799	25.7704	25.7373	25.8328	25.5019	5	sp|A0QQ98|DCDB_MYCS2	sp|A0QQ98|DCDB_MYCS2	sp|A0QQ98|DCDB_MYCS2 dCTP deaminase, dUMP-forming OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=dcd PE=1 SV=1
34.067	34.0828	34.064	34.2368	34.3039	34.5183	34.7445	33.3973	33.9992	33.737	33.7458	33.442	34.2202	34.2115	34.1834	32.3101	77	sp|A0QQC8|DNAK_MYCS2	sp|A0QQC8|DNAK_MYCS2	sp|A0QQC8|DNAK_MYCS2 Chaperone protein DnaK OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=dnaK PE=1 SV=1
23.5277	22.5897	22.8876	23.5109	22.4153	23.573	22.4284	22.3901	23.9474	23.8217	23.8512	24.3398	23.1561	22.744	23.5554	24.4906	1	sp|A0QQH5|RIP2_MYCS2	sp|A0QQH5|RIP2_MYCS2	sp|A0QQH5|RIP2_MYCS2 Putative zinc metalloprotease Rip2 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=rip2 PE=3 SV=1
30.9146	30.7484	30.9266	30.641	30.4192	30.2097	30.3536	29.9153	30.8409	30.8784	30.6936	30.3174	30.505	30.6393	30.8201	29.6384	31	sp|A0QQH7|PURA_MYCS2	sp|A0QQH7|PURA_MYCS2	sp|A0QQH7|PURA_MYCS2 Adenylosuccinate synthetase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=purA PE=1 SV=1
32.734	32.8873	32.7981	32.8049	32.5404	32.68	32.7731	32.8948	32.7128	32.7004	32.6958	30.7361	32.8024	32.7325	32.8056	31.9327	45	sp|A0QQJ4|FGD_MYCS2	sp|A0QQJ4|FGD_MYCS2	sp|A0QQJ4|FGD_MYCS2 F420-dependent glucose-6-phosphate dehydrogenase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=fgd PE=1 SV=2
27.9679	28.0314	27.9492	27.6214	27.4292	27.3238	27.3979	27.692	28.0507	28.366	28.3867	23.8068	27.8755	27.5853	27.6663	28.3667	16	sp|A0QQK1|ACKA_MYCS2	sp|A0QQK1|ACKA_MYCS2	sp|A0QQK1|ACKA_MYCS2 Acetate kinase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=ackA PE=1 SV=1
26.5894	26.6143	26.6711	26.807	26.9705	27.3772	27.1867	27.5472	26.9966	27.4101	27.0867	25.889	26.974	26.7689	26.9353	26.4294	20	sp|A0QQK3|PKNG_MYCS2	sp|A0QQK3|PKNG_MYCS2	sp|A0QQK3|PKNG_MYCS2 Serine/threonine-protein kinase PknG OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=pknG PE=1 SV=1
29.7039	29.6122	29.8216	29.5319	29.6114	29.1706	29.3509	29.163	29.2854	28.5695	28.6485	27.9469	29.5639	29.4548	29.5699	29.0946	26	sp|A0QQK7|THIE_MYCS2	sp|A0QQK7|THIE_MYCS2	sp|A0QQK7|THIE_MYCS2 Thiamine-phosphate synthase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=thiE PE=3 SV=1
28.1095	28.3855	28.2974	27.7856	30.754	30.9304	30.9254	31.269	28.2747	27.7927	27.7583	27.7789	29.2822	28.834	28.8165	29.5725	16	sp|A0QQL0|THIG_MYCS2	sp|A0QQL0|THIG_MYCS2	sp|A0QQL0|THIG_MYCS2 Thiazole synthase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=thiG PE=1 SV=1
29.6578	29.4522	29.6583	29.341	29.0272	22.2097	28.7172	29.0676	29.0697	29.7082	29.418	30.4727	29.2992	29.5134	29.7436	31.4874	10	sp|A0QQP8|DEF_MYCS2	sp|A0QQP8|DEF_MYCS2	sp|A0QQP8|DEF_MYCS2 Peptide deformylase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=def PE=3 SV=1
26.4408	26.1991	26.1865	25.9757	25.9536	26.2116	26.0055	26.6154	26.0639	26.2386	26.2891	24.4206	25.9579	26.2066	26.1434	26.1286	12	sp|A0QQQ2|GCS21_MYCS2	sp|A0QQQ2|GCS21_MYCS2	sp|A0QQQ2|GCS21_MYCS2 Putative glutamate--cysteine ligase 2-1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_0836 PE=3 SV=1
26.7287	26.99	26.5529	26.9643	27.445	27.892	27.8162	27.9724	26.354	26.6369	26.4204	25.1453	26.7111	26.9292	26.8965	26.0487	9	sp|A0QQS6|PSD_MYCS2	sp|A0QQS6|PSD_MYCS2	sp|A0QQS6|PSD_MYCS2 Phosphatidylserine decarboxylase proenzyme OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=psd PE=3 SV=1
34.5923	35.0225	34.5849	34.7861	35.9321	36.3947	36.5162	36.0207	34.6349	34.4106	34.4631	31.6629	35.0367	34.9488	35.0277	33.8518	78	sp|A0QQU5|CH601_MYCS2	sp|A0QQU5|CH601_MYCS2	sp|A0QQU5|CH601_MYCS2 60 kDa chaperonin 1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=groL1 PE=1 SV=1
26.3256	26.2937	26.186	26.2984	26.0658	25.6009	26.0458	26.2697	26.2292	25.9549	25.6298	24.821	26.4083	26.3453	26.4974	26.3209	15	sp|A0QQZ3|MURB_MYCS2	sp|A0QQZ3|MURB_MYCS2	sp|A0QQZ3|MURB_MYCS2 UDP-N-acetylenolpyruvoylglucosamine reductase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=murB PE=3 SV=1
26.0527	26.3572	26.1702	26.3433	26.4114	26.9376	27.0194	27.0184	25.4216	25.5559	25.3962	26.6356	26.8615	26.5091	26.2774	27.0984	12	sp|A0QQZ8|MSHA_MYCS2	sp|A0QQZ8|MSHA_MYCS2	sp|A0QQZ8|MSHA_MYCS2 D-inositol 3-phosphate glycosyltransferase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mshA PE=1 SV=1
25.4435	25.4235	25.0418	25.3125	24.7502	24.9638	24.9795	24.7945	24.2802	24.5213	24.4507	24.7376	25.2825	25.1064	25.2093	26.4892	9	sp|A0QR01|SENX3_MYCS2	sp|A0QR01|SENX3_MYCS2	sp|A0QR01|SENX3_MYCS2 Signal-transduction histidine kinase senX3 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=senX3 PE=1 SV=1
22.9757	23.129	21.0685	22.6018	28.2159	28.5844	28.6522	28.0119	20.7318	22.1336	22.7983	25.0394	24.4829	25.3533	25.5922	24.6929	15	sp|A0QR17|HEM1_MYCS2	sp|A0QR17|HEM1_MYCS2	sp|A0QR17|HEM1_MYCS2 Glutamyl-tRNA reductase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=hemA PE=3 SV=1
30.295	30.2092	30.2097	30.3664	30.5185	30.212	30.2308	30.4889	30.3138	29.8632	29.8139	29.6085	30.4288	30.5012	30.6098	30.5306	24	sp|A0QR33|GSA_MYCS2	sp|A0QR33|GSA_MYCS2	sp|A0QR33|GSA_MYCS2 Glutamate-1-semialdehyde 2,1-aminomutase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=hemL PE=3 SV=1
27.8985	27.8458	27.8137	27.8277	27.8272	27.8906	27.5811	28.0511	27.8255	27.9537	28.0685	25.1913	27.9754	27.5533	27.7603	27.4649	8	sp|A0QR54|MTAP_MYCS2	sp|A0QR54|MTAP_MYCS2	sp|A0QR54|MTAP_MYCS2 S-methyl-5-thioadenosine phosphorylase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mtnP PE=1 SV=1
30.0764	30.0634	29.9531	29.9311	29.1989	29.3742	29.5516	29.5389	29.658	29.7912	29.6026	29.1572	29.6194	29.8003	29.7059	29.6184	23	sp|A0QRD3|MENB_MYCS2	sp|A0QRD3|MENB_MYCS2	sp|A0QRD3|MENB_MYCS2 1,4-dihydroxy-2-naphthoyl-CoA synthase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=menB PE=1 SV=1
25.5405	25.1123	25.3919	25.2222	25.2	24.6597	24.7469	25.1655	24.9675	25.5959	24.6158	25.008	25.4279	25.378	25.363	26.7439	9	sp|A0QRG0|MENC_MYCS2	sp|A0QRG0|MENC_MYCS2	sp|A0QRG0|MENC_MYCS2 o-succinylbenzoate synthase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=menC PE=3 SV=1
26.7633	26.5948	26.5905	26.9248	27.2724	27.289	27.4674	27.5535	26.5703	26.9932	26.4939	26.9188	26.6707	26.7058	26.8688	27.2814	13	sp|A0QRG5|MEND_MYCS2	sp|A0QRG5|MEND_MYCS2	sp|A0QRG5|MEND_MYCS2 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=menD PE=3 SV=2
27.4448	27.4381	27.2237	27.1609	27.3892	27.415	27.447	27.156	27.1218	27.0457	26.5982	24.73	27.3199	27.5235	27.1804	26.4092	11	sp|A0QRH1|MENG_MYCS2	sp|A0QRH1|MENG_MYCS2	sp|A0QRH1|MENG_MYCS2 Demethylmenaquinone methyltransferase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=menG PE=3 SV=1
26.2034	26.775	26.0769	25.869	26.5293	26.6745	26.3266	25.8695	26.1126	25.9369	22.4978	25.0378	26.0452	25.8994	25.9886	23.41	5	sp|A0QRI8|MENJ_MYCS2	sp|A0QRI8|MENJ_MYCS2	sp|A0QRI8|MENJ_MYCS2 Menaquinone reductase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=menJ PE=1 SV=1
28.1237	27.9361	28.0559	28.1438	27.4966	27.2228	27.2311	27.2096	27.6576	27.4866	27.5045	24.2508	27.8277	27.9545	27.8819	27.9733	15	sp|A0QRJ0|HTPX_MYCS2	sp|A0QRJ0|HTPX_MYCS2	sp|A0QRJ0|HTPX_MYCS2 Protease HtpX homolog OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=htpX PE=3 SV=1
30.7832	30.8653	30.8211	30.884	30.342	30.1421	30.0885	30.257	30.6072	30.388	30.287	27.6232	30.8695	30.7045	30.9754	29.7411	27	sp|A0QRM0|Y1165_MYCS2	sp|A0QRM0|Y1165_MYCS2	sp|A0QRM0|Y1165_MYCS2 UPF0234 protein MSMEG_1165/MSMEI_1134 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_1165 PE=1 SV=1
25.8714	26.2189	26.018	26.3573	26.946	27.0945	27.2056	27.0027	26.7823	27.0458	27.0449	26.1181	26.8584	26.7158	26.8854	26.6326	21	sp|A0QRN3|HUTU_MYCS2	sp|A0QRN3|HUTU_MYCS2	sp|A0QRN3|HUTU_MYCS2 Urocanate hydratase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=hutU PE=1 SV=1
27.4429	27.276	27.3684	27.2969	26.7141	26.3253	26.4343	26.9917	27.672	27.5439	27.6932	28.9087	27.1954	27.1998	27.2218	29.2964	20	sp|A0QRN6|HUTI_MYCS2	sp|A0QRN6|HUTI_MYCS2	sp|A0QRN6|HUTI_MYCS2 Imidazolonepropionase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=hutI PE=1 SV=1
